t,ax,ay,az,gx,gy,gz,mag_valid,mx,my,mz,
6550,-1236,157,16165,-79,-22,104,1,22,1574,304,
6571,-1237,156,16169,-79,-25,104,1,20,1572,294,
6591,-1241,163,16177,-81,-28,100,1,9,1577,303,
6611,-1245,165,16172,-83,-26,106,1,20,1570,306,
6632,-1250,164,16160,-82,-26,102,1,8,1570,308,
6652,-1251,163,16161,-80,-27,101,1,18,1578,306,
6672,-1246,161,16155,-79,-23,108,1,10,1574,300,
6693,-1240,163,16150,-76,-26,108,1,14,1570,300,
6713,-1245,152,16170,-75,-21,106,1,14,1568,306,
6733,-1250,153,16176,-76,-18,106,1,20,1572,304,
6743,-1254,152,16164,-76,-22,105,1,14,1576,298,
6764,-1262,154,16184,-76,-19,105,1,13,1573,305,
6784,-1243,159,16185,-72,-22,105,1,15,1569,303,
6805,-1244,161,16178,-73,-20,107,1,15,1577,311,
6825,-1241,159,16186,-72,-20,103,1,11,1583,301,
6845,-1230,154,16169,-74,-22,104,1,14,1572,306,
6866,-1232,160,16175,-77,-24,106,1,14,1572,304,
6886,-1232,161,16161,-77,-22,110,1,15,1569,299,
6906,-1240,160,16154,-75,-24,106,1,9,1571,303,
6927,-1240,167,16148,-78,-21,107,1,23,1575,309,
6947,-1238,160,16139,-78,-21,104,1,14,1572,300,
6967,-1250,166,16161,-75,-21,104,1,11,1577,303,
6988,-1247,166,16158,-75,-22,105,1,14,1572,298,
7008,-1236,162,16163,-79,-23,106,1,17,1567,301,
7029,-1228,161,16169,-77,-22,109,1,14,1570,302,
7049,-1228,164,16171,-78,-22,103,1,15,1581,301,
7069,-1233,165,16166,-74,-22,102,1,21,1577,305,
7090,-1244,161,16152,-75,-28,103,1,10,1570,314,
7110,-1235,161,16158,-75,-28,104,1,5,1573,305,
7130,-1247,170,16168,-78,-25,109,1,9,1581,303,
7151,-1244,172,16174,-80,-22,106,1,16,1570,308,
7171,-1249,170,16186,-80,-25,108,1,11,1565,303,
7191,-1242,162,16162,-79,-28,106,1,12,1574,306,
7212,-1243,167,16157,-76,-27,100,1,14,1574,306,
7232,-1242,162,16161,-78,-25,101,1,12,1576,304,
7253,-1233,153,16159,-74,-25,106,1,19,1575,303,
7273,-1229,161,16152,-74,-23,106,1,10,1568,306,
7293,-1231,157,16155,-77,-18,108,1,14,1572,310,
7314,-1238,168,16151,-77,-22,103,1,17,1569,299,
7334,-1241,158,16146,-79,-22,103,1,16,1564,304,
7354,-1247,154,16162,-77,-23,106,1,12,1578,302,
7375,-1253,157,16157,-77,-21,108,1,23,1573,299,
7395,-1248,158,16156,-72,-22,106,1,12,1576,308,
7415,-1245,166,16159,-74,-22,106,1,12,1578,300,
7436,-1243,172,16164,-77,-25,112,1,14,1576,302,
7456,-1251,174,16153,-74,-22,114,1,17,1573,301,
7477,-1250,169,16153,-74,-24,110,1,12,1572,306,
7497,-1251,168,16159,-72,-25,107,1,15,1579,301,
7517,-1249,172,16157,-76,-21,106,1,9,1575,307,
7538,-1250,161,16158,-74,-22,107,1,10,1568,304,
7558,-1252,155,16156,-71,-20,107,1,19,1571,305,
7578,-1250,154,16167,-73,-17,107,1,16,1572,304,
7599,-1252,158,16169,-74,-21,111,1,17,1573,307,
7619,-1260,159,16171,-78,-20,108,1,14,1570,302,
7639,-1256,162,16172,-76,-20,107,1,14,1572,308,
7660,-1256,161,16157,-82,-22,105,1,18,1570,302,
7680,-1258,161,16161,-81,-23,105,1,11,1577,303,
7701,-1256,167,16166,-84,-22,102,1,12,1564,298,
7721,-1249,157,16166,-81,-19,101,1,13,1575,303,
7741,-1249,166,16169,-78,-22,106,1,10,1570,300,
7762,-1240,165,16162,-76,-16,105,1,18,1570,300,
7782,-1244,160,16188,-76,-19,103,1,17,1577,299,
7803,-1243,167,16177,-77,-20,103,1,22,1568,310,
7823,-1243,157,16188,-54,-21,107,1,18,1566,302,
7843,-1230,169,16177,-58,-21,105,1,19,1577,305,
7864,-1251,168,16175,-60,-26,102,1,10,1580,306,
7884,-1238,161,16159,-57,-24,104,1,10,1578,302,
7904,-1242,185,16153,-49,-34,101,1,21,1577,303,
7925,-1245,161,16152,-30,-47,91,1,13,1567,301,
7945,-1233,148,16156,-31,-40,101,1,18,1564,306,
7965,-1190,157,16160,-63,-32,99,1,17,1573,297,
7986,-1250,160,16177,-87,-37,98,1,14,1578,302,
8006,-1316,154,16169,-13,-44,108,1,1,1575,301,
8027,-1164,131,16154,12,-49,96,1,12,1572,302,
8047,-1285,184,16159,-13,-52,112,1,20,1576,298,
