t,ax,ay,az,gx,gy,gz,mag_valid,mx,my,mz,
6540,-1611,175,16161,-82,-23,112,1,21,1565,299,
6560,-1609,186,16151,-80,-19,108,1,13,1563,301,
6580,-1605,200,16164,-81,-18,109,1,16,1558,296,
6601,-1608,185,16156,-76,-19,111,1,20,1556,296,
6621,-1602,177,16152,-78,-18,107,1,8,1560,302,
6641,-1605,175,16140,-81,-18,110,1,23,1555,295,
6662,-1604,179,16131,-85,-23,106,1,16,1554,300,
6682,-1609,185,16140,-82,-16,109,1,22,1562,298,
6702,-1602,178,16144,-83,-20,111,1,15,1559,303,
6712,-1609,186,16149,-81,-21,109,1,14,1564,300,
6733,-1610,182,16143,-82,-22,110,1,17,1561,299,
6754,-1610,188,16148,-76,-20,110,1,21,1561,293,
6774,-1608,188,16143,-78,-21,112,1,19,1565,305,
6794,-1614,185,16142,-76,-21,109,1,24,1554,302,
6815,-1612,177,16139,-80,-26,111,1,19,1557,303,
6835,-1612,182,16151,-79,-24,113,1,23,1565,299,
6855,-1610,170,16148,-77,-23,111,1,21,1561,303,
6875,-1606,172,16136,-73,-20,108,1,34,1560,304,
6896,-1611,169,16140,-80,-21,108,1,22,1556,300,
6916,-1610,177,16149,-79,-21,109,1,18,1560,296,
6936,-1615,182,16162,-74,-22,107,1,15,1561,301,
6957,-1604,189,16149,-78,-23,108,1,15,1545,305,
6978,-1616,196,16144,-77,-24,108,1,14,1564,302,
6998,-1611,187,16143,-82,-26,111,1,19,1565,299,
7018,-1612,176,16127,-80,-23,112,1,11,1557,295,
7039,-1612,190,16126,-83,-24,115,1,20,1556,302,
7059,-1612,183,16120,-81,-24,114,1,21,1561,293,
7079,-1606,184,16128,-83,-22,113,1,27,1561,299,
7099,-1611,191,16133,-80,-21,114,1,25,1559,305,
7120,-1609,190,16144,-79,-23,111,1,15,1559,299,
7140,-1614,178,16134,-80,-28,111,1,22,1560,300,
7160,-1614,186,16144,-82,-27,110,1,22,1562,306,
7181,-1614,184,16132,-82,-26,107,1,20,1558,296,
7201,-1611,179,16144,-82,-23,106,1,21,1559,301,
7222,-1616,188,16145,-81,-18,108,1,19,1565,301,
7242,-1614,185,16147,-84,-21,111,1,16,1556,304,
7263,-1611,179,16142,-79,-20,107,1,24,1560,302,
7283,-1607,179,16147,-77,-20,109,1,22,1560,302,
7303,-1603,179,16140,-79,-23,110,1,17,1567,299,
7323,-1609,184,16145,-80,-23,112,1,24,1558,300,
7344,-1598,187,16142,-80,-24,113,1,25,1565,297,
7364,-1594,192,16140,-77,-24,110,1,25,1561,299,
7384,-1625,188,16144,-80,-24,107,1,20,1566,294,
7405,-1552,239,16169,-119,-61,90,1,17,1565,303,
7425,-1631,147,16187,-135,-85,114,1,20,1552,302,
7446,-1653,104,16179,-44,15,113,1,22,1560,304,
7466,-1575,224,16138,-31,50,103,1,16,1570,296,
7486,-1610,247,16138,-98,-67,117,1,16,1554,294,
7507,-1633,113,16171,-73,-40,113,1,23,1553,305,
7527,-1601,214,16138,-63,23,109,1,20,1554,302,
7547,-1595,224,16135,-86,-49,114,1,22,1564,302,
7568,-1626,151,16147,-84,-31,108,1,22,1568,302,
7588,-1597,210,16141,-60,2,102,1,16,1554,300,
7609,-1578,199,16143,-88,-40,105,1,27,1553,299,
7629,-1629,168,16152,-81,-28,107,1,22,1558,302,
7649,-1602,204,16149,-71,-6,106,1,19,1553,303,
7670,-1606,194,16148,-96,-36,110,1,21,1561,305,
7690,-1631,153,16149,-83,-26,107,1,20,1560,298,
7710,-1610,200,16123,-74,-7,104,1,17,1563,301,
7731,-1603,193,16132,-85,-33,109,1,25,1559,299,
7751,-1614,162,16133,-75,-23,109,1,26,1562,304,
7771,-1600,188,16124,-66,-8,109,1,14,1554,302,
7792,-1597,178,16131,-80,-31,113,1,14,1564,302,
7812,-1613,162,16136,-81,-24,109,1,24,1560,300,
7833,-1613,184,16138,-76,-11,106,1,20,1560,304,
7853,-1632,159,16135,-69,0,112,1,16,1560,302,
7873,-1619,152,16155,-36,47,113,1,18,1556,306,
7894,-1578,231,16143,-43,40,110,1,15,1559,299,
7914,-1625,193,16138,-33,3,103,1,21,1567,297,
7934,-1572,201,16127,-9,20,74,1,20,1564,298,
7955,-1568,229,16133,-45,-13,82,1,12,1558,298,
7975,-1587,216,16116,-85,-54,111,1,19,1559,305,
7995,-1605,154,16157,-76,-46,103,1,19,1561,301,
8016,-1591,219,16138,-103,-47,122,1,17,1555,295,
8036,-1614,254,16137,-160,-137,110,1,26,1550,298,
8057,-1660,139,16162,-155,-149,98,1,19,1561,301,
8077,-1642,134,16147,-105,-53,84,1,21,1559,287,
8097,-1585,206,16172,-78,-14,96,1,20,1556,294,
8118,-1621,144,16161,-37,6,101,1,15,1555,301,
8138,-1592,106,16135,45,121,107,1,16,1562,302,
8158,-1571,206,16107,1,73,91,1,18,1558,304,
8178,-1620,279,16134,-38,4,84,1,21,1563,301,
8199,-1635,128,16169,-33,-14,73,1,20,1566,300,
8219,-1642,146,16157,-3,84,81,1,16,1562,298,
8240,-1632,213,16171,70,124,90,1,22,1556,302,
8260,-1508,303,16140,72,64,119,1,18,1560,302,
8280,-1535,279,16138,-50,-68,161,1,17,1557,303,
8301,-1622,161,16153,-44,-87,146,1,9,1559,303,
8321,-1556,177,16159,-23,-32,129,1,18,1556,300,
8341,-1613,193,16184,28,6,113,1,19,1563,299,
8362,-1592,202,16183,95,72,44,1,23,1553,295,
8382,-1511,149,16138,127,117,27,1,12,1552,306,
8403,-1482,226,16177,107,116,96,1,25,1559,297,
8423,-1487,208,16178,124,84,69,1,18,1554,300,
8443,-1467,145,16228,73,112,62,1,30,1552,302,
8464,-1518,-98,16253,11,-31,127,1,23,1557,303,
8484,-1646,-396,16395,-190,146,245,1,25,1557,293,
8504,-1766,-422,16733,-434,845,296,1,23,1555,295,
8525,-1943,-198,17080,-582,1706,209,1,27,1559,297,
8545,-2013,122,17316,-545,2453,16,1,21,1559,293,
8566,-1845,343,17514,-309,2773,-227,1,31,1555,299,
8586,-1753,571,17709,213,2386,-429,1,24,1564,292,
8606,-1778,754,17602,888,1324,-569,1,20,1556,296,
8626,-1669,828,17363,1609,-337,-574,1,23,1557,297,
8647,-1452,828,17126,2103,-1979,-433,1,28,1566,304,
8667,-1272,754,16837,2336,-3212,-281,1,29,1553,303,
8688,-1092,587,16553,2262,-3822,-142,1,16,1562,298,
8708,-955,381,16371,1885,-3617,-74,1,22,1556,294,
8728,-808,126,16274,1327,-2605,-152,1,22,1552,298,
8749,-704,-139,16225,670,-1122,-240,1,23,1557,301,
8769,-671,-334,16301,30,507,-296,1,21,1553,297,
8789,-654,-322,16424,-441,1670,-226,1,17,1547,299,
8810,-744,-108,16473,-764,2256,-1,1,24,1558,298,
8830,-865,116,16481,-869,2270,249,1,25,1553,307,
8850,-911,244,16472,-757,1832,485,1,21,1561,285,
8871,-886,333,16434,-524,1021,757,1,24,1558,294,
8891,-937,512,16330,-249,13,1077,1,24,1556,290,
8912,-952,611,16244,40,-718,1286,1,27,1553,297,
8932,-991,584,16092,284,-1096,1407,1,21,1547,301,
8952,-953,464,15836,368,-1263,1520,1,15,1555,299,
8973,-838,372,15564,259,-1204,1630,1,17,1559,301,
8993,-813,221,15364,-12,-911,1744,1,21,1557,303,
9013,-985,-34,15217,-343,-493,1919,1,24,1560,300,
9034,-1199,-342,15219,-630,-10,2201,1,21,1545,299,
9054,-1283,-458,15324,-778,432,2584,1,25,1553,291,
9074,-1261,-260,15537,-683,815,2945,1,24,1554,302,
9095,-1135,119,15721,-390,993,3158,1,24,1548,290,
9115,-1002,482,15788,4,867,3219,1,26,1544,298,
9135,-955,639,15725,385,302,3203,1,22,1548,298,
9156,-970,645,15663,645,-431,3178,1,25,1545,293,
9176,-956,625,15651,789,-971,3122,1,24,1550,296,
9197,-926,639,15714,850,-1066,2968,1,31,1551,295,
9217,-928,697,15788,847,-883,2732,1,25,1549,293,
9237,-963,695,15899,814,-552,2433,1,20,1540,298,
9258,-951,545,15951,730,-163,2143,1,27,1549,299,
9278,-916,369,15920,642,130,1981,1,27,1553,295,
9298,-974,262,15909,598,256,1931,1,23,1549,297,
9319,-1031,183,15895,590,196,1976,1,23,1547,297,
9339,-1047,36,15898,565,42,2164,1,20,1546,292,
9359,-1029,-107,15949,489,-96,2495,1,26,1546,300,
9380,-960,-181,16062,429,-28,2831,1,18,1540,290,
9400,-905,-117,16125,403,169,3125,1,23,1549,297,
9421,-862,-4,16125,341,312,3377,1,29,1545,283,
9441,-815,-7,16136,214,291,3666,1,26,1540,290,
9461,-797,-121,16138,73,194,3986,1,18,1536,296,
9482,-724,-278,16081,-52,92,4353,1,29,1545,291,
9502,-598,-420,15982,-169,-17,4786,1,32,1546,294,
9522,-582,-462,15926,-273,-107,5170,1,22,1538,292,
9543,-585,-393,16012,-294,-98,5502,1,23,1543,289,
9563,-652,-200,16132,-215,16,5724,1,19,1535,291,
9583,-785,68,16171,-71,143,5806,1,27,1543,285,
9604,-888,233,16111,37,168,5819,1,24,1538,298,
9624,-898,168,16052,86,52,5851,1,29,1523,297,
9644,-852,61,16017,110,-113,5899,1,23,1535,295,
9665,-842,22,16035,68,-297,5991,1,21,1527,301,
9685,-912,35,16148,10,-390,6079,1,26,1538,284,
9706,-1009,69,16269,-4,-318,6089,1,25,1521,291,
9726,-1017,139,16370,63,-115,5998,1,19,1521,285,
9746,-991,235,16525,225,100,5853,1,29,1525,287,
9767,-931,289,16640,427,257,5697,1,31,1525,285,
9787,-898,335,16711,694,399,5515,1,32,1518,298,
9807,-848,311,16663,988,495,5374,1,28,1520,294,
9828,-773,304,16529,1228,532,5330,1,25,1513,291,
9848,-649,254,16327,1312,498,5387,1,26,1520,292,
9869,-539,118,16059,1214,426,5529,1,20,1518,294,
9889,-393,12,15909,946,347,5773,1,17,1511,291,
9909,-223,-54,15900,538,356,6149,1,26,1512,286,
9930,-241,-97,15981,181,504,6497,1,18,1520,292,
9950,-336,-11,16085,-153,687,6799,1,22,1506,284,
9970,-355,158,16118,-490,868,7037,1,22,1516,288,
9991,-374,272,16101,-757,994,7190,1,23,1517,297,
10011,-502,305,16172,-938,1005,7343,1,27,1507,293,
10031,-672,398,16371,-984,959,7444,1,19,1503,291,
10052,-757,575,16571,-876,951,7428,1,23,1503,289,
10072,-874,651,16565,-667,891,7324,1,15,1507,291,
10092,-1037,561,16414,-465,625,7227,1,27,1499,295,
10113,-968,307,16270,-264,171,7249,1,20,1506,294,
10133,-836,124,16165,-30,-214,7336,1,16,1498,292,
10154,-809,273,16158,189,-423,7380,1,28,1502,292,
10174,-838,513,16120,293,-481,7297,1,20,1488,298,
10194,-898,550,16022,265,-434,7080,1,18,1498,294,
10214,-948,404,15884,127,-405,6840,1,19,1491,287,
10235,-869,244,15836,-83,-424,6736,1,19,1489,295,
10256,-845,222,15873,-241,-371,6630,1,24,1488,284,
10276,-912,280,15942,-343,-278,6473,1,12,1486,294,
10296,-926,329,15992,-451,-232,6358,1,19,1489,277,
10316,-865,257,15977,-570,-162,6277,1,19,1481,277,
10326,-827,187,15959,-631,-103,6273,1,15,1483,287,
10347,-769,49,15910,-729,75,6327,1,14,1476,292,
10367,-761,-57,15924,-760,307,6413,1,12,1484,286,
