t,ax,ay,az,gx,gy,gz,mag_valid,mx,my,mz,
6550,-1503,570,16148,-89,-23,107,1,25,1567,293,
6570,-1508,562,16135,-68,-24,106,1,27,1561,299,
6591,-1501,561,16139,-73,-29,105,1,24,1560,298,
6611,-1493,567,16138,-87,-19,108,1,22,1556,292,
6631,-1505,571,16126,-86,-20,103,1,30,1562,306,
6652,-1495,580,16136,-72,-23,103,1,14,1560,296,
6672,-1490,574,16134,-87,-25,108,1,30,1556,300,
6692,-1514,560,16127,-96,-14,101,1,32,1564,300,
6713,-1513,589,16144,-91,-26,121,1,25,1569,293,
6733,-1522,543,16120,-82,-25,120,1,20,1564,300,
6754,-1511,566,16137,-76,-20,109,1,20,1554,304,
6774,-1514,553,16144,-78,-21,116,1,29,1565,293,
6794,-1508,557,16140,-83,-19,112,1,27,1561,293,
6815,-1509,574,16139,-74,-20,116,1,24,1556,300,
6835,-1506,573,16124,-69,-20,111,1,22,1568,296,
6855,-1547,556,16139,-55,-7,130,1,22,1566,296,
6876,-1531,627,16173,-2,-59,178,1,26,1566,302,
6896,-1516,616,16177,30,-122,182,1,24,1562,296,
6917,-1463,562,16145,32,-157,139,1,20,1564,298,
6937,-1418,477,16133,-68,-81,139,1,29,1561,297,
6957,-1394,412,16113,-248,73,97,1,27,1565,307,
6978,-1506,628,16170,-366,148,154,1,17,1555,299,
6998,-1690,560,16156,-243,34,90,1,29,1561,293,
7018,-1645,577,16145,61,25,-17,1,27,1567,303,
7039,-1453,633,16189,50,-63,1,1,23,1559,307,
7059,-1495,443,16134,-110,10,54,1,28,1560,306,
7079,-1471,645,16146,-147,27,64,1,25,1569,303,
7100,-1511,591,16133,-122,-31,123,1,31,1559,309,
7120,-1484,536,16105,-141,-32,116,1,27,1555,301,
7141,-1515,647,16186,-96,18,166,1,21,1563,311,
7161,-1562,554,16119,-15,-42,207,1,18,1562,304,
7181,-1504,544,16148,-28,-39,171,1,27,1559,303,
7201,-1586,593,16131,-42,-18,144,1,27,1553,297,
7222,-1547,667,16159,57,-77,57,1,27,1561,301,
7243,-1517,558,16134,80,-117,-2,1,21,1563,299,
7263,-1542,525,16154,109,-97,-20,1,22,1558,296,
7283,-1516,618,16171,207,-128,-21,1,20,1564,306,
7303,-1544,729,16156,343,-235,-30,1,26,1560,302,
7324,-1520,772,16235,456,-458,-46,1,19,1555,305,
7344,-1422,549,16245,637,-725,-18,1,28,1554,296,
7365,-1307,356,16147,695,-765,54,1,27,1557,293,
7385,-1197,188,16136,519,-544,65,1,18,1558,302,
7405,-1116,180,16309,279,-394,156,1,24,1552,302,
7425,-1026,160,16571,85,-728,365,1,27,1549,295,
7446,-1150,367,16697,40,-1190,510,1,18,1552,300,
7467,-1223,390,16978,34,-1361,479,1,26,1550,300,
7487,-1353,200,17158,169,-1482,406,1,24,1550,300,
7507,-1396,173,17334,369,-1519,258,1,28,1550,298,
7527,-1333,41,17434,552,-1484,118,1,13,1551,299,
7548,-1269,78,17209,620,-1264,48,1,19,1551,303,
7568,-1297,212,16824,508,-712,-17,1,22,1548,302,
7588,-1471,212,16541,294,196,-207,1,15,1549,303,
7609,-1556,145,16403,62,1113,-412,1,26,1550,302,
7629,-1476,155,16329,-204,1799,-550,1,26,1556,296,
7650,-1340,284,16330,-462,2167,-580,1,25,1549,301,
7670,-1329,334,16386,-596,2169,-545,1,28,1558,292,
7691,-1466,362,16474,-601,1804,-495,1,21,1551,297,
7711,-1537,412,16576,-500,1247,-485,1,26,1554,306,
7731,-1495,397,16612,-362,809,-478,1,29,1553,301,
7751,-1470,387,16542,-267,455,-424,1,28,1550,300,
7772,-1463,390,16396,-192,147,-322,1,20,1552,296,
7792,-1455,400,16236,-106,-65,-241,1,11,1563,301,
7812,-1476,464,16095,-15,-220,-208,1,24,1558,300,
7833,-1415,416,15990,5,-392,-86,1,27,1547,291,
7853,-1247,385,15902,-3,-528,128,1,21,1559,297,
7874,-1169,368,15776,11,-659,326,1,22,1554,290,
7894,-1145,421,15802,55,-817,471,1,22,1554,298,
7914,-1061,462,15837,77,-1056,644,1,26,1562,304,
7935,-1018,408,15774,46,-1324,846,1,18,1558,298,
7955,-1029,266,15644,-94,-1663,1139,1,23,1549,297,
7975,-1095,101,15591,-272,-1938,1431,1,21,1551,293,
7996,-1077,-10,15725,-386,-2026,1690,1,26,1552,300,
8016,-1060,-50,15891,-491,-1944,1934,1,28,1546,300,
8037,-1050,-120,15975,-539,-1626,2128,1,16,1546,300,
8057,-1130,-191,15978,-579,-1142,2300,1,24,1548,288,
8077,-1312,-219,15856,-632,-594,2432,1,27,1559,299,
8098,-1451,-195,15769,-698,-123,2458,1,29,1553,293,
8118,-1463,-273,15718,-744,356,2509,1,21,1549,293,
8138,-1437,-384,15733,-765,660,2644,1,27,1547,295,
8159,-1480,-406,15796,-780,760,2858,1,31,1545,295,
8179,-1557,-302,15884,-782,708,3082,1,21,1551,293,
8199,-1582,-219,15923,-720,635,3295,1,21,1543,293,
8220,-1590,-164,15983,-561,616,3431,1,29,1549,297,
8240,-1600,1,16049,-376,593,3536,1,25,1547,293,
8260,-1546,113,16067,-224,543,3637,1,29,1545,295,
8281,-1453,5,16077,-93,450,3806,1,21,1543,287,
8301,-1467,-111,16031,11,305,4027,1,31,1547,293,
8322,-1573,-156,16032,25,148,4251,1,25,1537,293,
8342,-1668,-125,16018,-51,162,4393,1,28,1542,288,
8362,-1701,-80,15968,-221,403,4464,1,29,1541,297,
8383,-1655,-52,16002,-371,797,4472,1,21,1545,287,
8403,-1551,6,16083,-471,1179,4481,1,29,1537,303,
8424,-1481,38,16181,-522,1426,4569,1,27,1541,299,
8444,-1522,57,16230,-461,1569,4731,1,38,1532,296,
8464,-1695,163,16179,-334,1644,4809,1,24,1546,294,
8484,-1753,284,16114,-239,1623,4837,1,25,1539,299,
8505,-1678,289,16169,-162,1595,4901,1,37,1529,283,
8525,-1644,288,16174,-118,1536,4998,1,34,1542,284,
8546,-1588,305,16126,-84,1498,5118,1,29,1537,291,
8566,-1543,344,16129,-24,1432,5272,1,32,1524,288,
8586,-1655,515,16110,110,1316,5363,1,24,1530,294,
8607,-1793,606,16064,297,1119,5346,1,33,1537,285,
8627,-1759,486,16033,423,838,5345,1,36,1534,294,
8648,-1685,421,16048,509,595,5381,1,27,1531,285,
8668,-1547,399,16181,600,338,5429,1,28,1526,286,
8688,-1505,449,16281,808,78,5407,1,35,1527,287,
8709,-1557,557,16396,1065,-266,5402,1,31,1523,287,
8729,-1622,638,16445,1125,-708,5488,1,29,1527,297,
8749,-1635,533,16449,1041,-883,5534,1,32,1520,294,
8770,-1575,441,16385,933,-668,5456,1,37,1529,293,
8790,-1524,500,16253,791,-277,5271,1,30,1512,288,
8810,-1497,521,16028,617,0,5103,1,21,1519,291,
8831,-1413,473,15841,386,137,5047,1,30,1516,292,
8851,-1418,435,15764,99,246,5064,1,22,1518,292,
8871,-1408,349,15846,-108,491,5050,1,19,1509,287,
8892,-1488,352,15905,-273,758,4954,1,29,1515,293,
8912,-1555,456,15928,-439,892,4808,1,28,1510,292,
8933,-1509,607,16061,-570,855,4633,1,23,1503,287,
8953,-1397,779,16150,-635,722,4491,1,21,1509,291,
8973,-1345,831,16225,-559,461,4433,1,29,1511,279,
8994,-1391,692,16293,-225,158,4399,1,22,1510,290,
9014,-1517,459,16270,311,-258,4307,1,25,1501,291,
9034,-1588,266,16319,890,-839,4265,1,19,1507,285,
9055,-1563,149,16362,1293,-1365,4396,1,21,1513,285,
9075,-1611,33,16198,1540,-1594,4462,1,29,1495,291,
9095,-1587,-137,16074,1641,-1388,4410,1,24,1508,294,
9116,-1292,-373,16040,1487,-727,4481,1,24,1504,294,
9136,-1050,-406,16120,1122,314,4669,1,16,1496,292,
9157,-1187,-129,16161,543,1563,4821,1,34,1496,292,
9177,-1582,159,15815,-253,2490,4700,1,24,1504,280,
9197,-1516,311,15792,-919,2952,4480,1,33,1509,279,
9217,-1172,447,15736,-1481,2731,4437,1,21,1509,285,
9238,-770,497,15960,-1684,2151,4611,1,22,1506,284,
9258,-964,903,16153,-1569,1441,4791,1,28,1512,282,
9279,-1701,1135,15882,-1214,497,4605,1,22,1514,282,
9299,-2016,1097,15667,-889,-384,4167,1,24,1506,284,
9319,-1476,781,16207,-641,-419,3863,1,16,1502,280,
9340,-1050,378,16573,-685,138,4031,1,26,1516,276,
9360,-1363,91,16002,-1036,482,4349,1,28,1496,266,
9380,-730,84,16313,-713,902,4908,1,17,1503,285,
9401,-1043,-120,16679,-86,522,5777,1,14,1496,282,
9421,-1386,-67,16597,560,203,6477,1,21,1499,285,
9441,-1705,99,16501,1087,500,6800,1,25,1493,287,
9462,-1894,245,16377,1356,1017,6837,1,12,1482,290,
9482,-1864,521,16183,1504,1453,6683,1,10,1490,284,
9503,-1770,954,15999,1419,1659,6375,1,14,1492,288,
9523,-2109,958,15902,1106,1713,5939,1,17,1493,291,
9543,-2345,787,15661,518,1724,5402,1,12,1494,286,
9564,-2128,942,15703,-119,1650,4805,1,12,1492,292,
9584,-1858,1278,15865,-672,1188,4316,1,20,1488,284,
9604,-1575,1488,15977,-1005,565,3961,1,5,1495,283,
9625,-1446,1486,16095,-1084,-30,3694,1,8,1488,284,
9645,-1557,1256,16119,-978,-633,3535,1,16,1496,292,
9665,-1713,968,16039,-844,-1094,3414,1,11,1489,293,
9686,-1889,823,15999,-748,-1322,3255,1,22,1488,284,
9706,-2024,656,16042,-621,-1320,3051,1,20,1486,286,
9727,-2080,639,16025,-534,-1350,2871,1,14,1488,284,
9747,-2028,565,16013,-469,-1260,2640,1,12,1490,284,
9767,-2049,493,16108,-380,-957,2322,1,14,1484,278,
9787,-2090,439,16002,-389,-719,2051,1,10,1484,276,
9808,-1897,290,15951,-567,-453,1898,1,11,1485,279,
9828,-1667,91,16071,-794,-41,1896,1,17,1487,283,
9849,-1653,-2,16049,-935,141,2100,1,12,1488,276,
9869,-1642,188,15579,-1247,-134,2408,1,12,1486,284,
9889,-1672,104,15737,-1537,-12,2602,1,11,1483,273,
9910,-2124,183,15931,-1689,560,2533,1,21,1487,279,
9930,-2128,177,15947,-1646,399,2615,1,20,1488,278,
9950,-1934,214,16211,-1102,-6,2746,1,10,1486,276,
9960,-2025,204,16293,-778,-135,2784,1,16,1474,278,
9981,-2162,76,16369,-169,-197,2844,1,12,1486,270,
10002,-2240,-43,16238,283,-130,2936,1,17,1479,277,
10022,-1986,-151,16122,490,14,3100,1,18,1482,268,
10042,-1932,-149,15858,378,327,3326,1,16,1474,280,
10063,-2095,43,15449,-99,620,3519,1,13,1477,281,
