891,716,16412,-1,-107,120,1,56,1604,266,
891,711,16427,-1,-110,120,1,45,1603,269,
882,720,16423,4,-109,120,1,51,1611,275,
881,718,16412,-1,-112,120,1,48,1608,270,
889,722,16424,3,-108,118,1,46,1602,276,
890,721,16422,4,-110,115,1,46,1606,274,
890,727,16425,6,-106,118,1,43,1609,275,
891,716,16417,4,-105,118,1,51,1599,263,
894,719,16414,5,-105,117,1,38,1600,274,
888,724,16411,4,-105,115,1,49,1609,261,
879,722,16419,5,-108,115,1,46,1608,266,
876,724,16407,5,-110,115,1,51,1603,273,
874,731,16410,6,-110,117,1,47,1611,275,
873,725,16417,1,-108,117,1,44,1606,268,
878,723,16412,3,-109,115,1,48,1612,272,
880,722,16418,1,-108,116,1,49,1609,271,
887,716,16415,2,-104,117,1,45,1605,275,
883,717,16421,0,-102,119,1,43,1607,275,
890,717,16410,0,-105,116,1,44,1606,272,
886,712,16421,-2,-104,115,1,43,1605,265,
883,711,16417,-1,-108,113,1,40,1606,270,
888,710,16421,3,-106,116,1,45,1599,271,
884,709,16412,7,-103,118,1,38,1612,268,
882,713,16414,7,-107,116,1,54,1602,274,
878,724,16418,2,-110,115,1,49,1599,273,
878,724,16429,6,-111,116,1,51,1605,267,
877,722,16425,6,-113,117,1,49,1601,273,
884,719,16434,9,-111,117,1,43,1601,271,
892,720,16433,6,-113,117,1,48,1600,268,
891,718,16435,6,-112,120,1,42,1608,270,
887,712,16440,4,-112,116,1,40,1608,276,
888,711,16445,4,-110,117,1,47,1603,267,
882,710,16440,1,-109,118,1,42,1600,270,
883,711,16441,1,-109,118,1,50,1608,262,
885,717,16434,2,-111,119,1,42,1602,276,
887,721,16422,2,-114,116,1,46,1606,268,
892,722,16425,1,-111,113,1,54,1612,278,
887,724,16424,0,-107,114,1,45,1603,267,
884,722,16427,-1,-104,113,1,48,1602,270,
881,722,16428,-1,-105,113,1,45,1605,271,
891,724,16425,0,-105,111,1,46,1608,266,
899,726,16427,0,-105,113,1,52,1610,278,
894,724,16429,2,-107,115,1,40,1602,276,
890,726,16429,1,-106,113,1,47,1601,271,
884,728,16426,2,-107,115,1,49,1599,271,
887,735,16423,5,-109,116,1,42,1608,268,
884,728,16422,4,-110,114,1,48,1606,274,
884,720,16435,1,-106,115,1,41,1605,269,
885,712,16446,-1,-105,115,1,49,1605,275,
885,713,16433,-3,-105,110,1,50,1602,268,
886,718,16422,0,-108,110,1,43,1609,273,
886,719,16415,1,-107,111,1,42,1608,274,
883,714,16423,3,-110,115,1,53,1607,275,
884,717,16425,2,-109,115,1,44,1610,278,
881,716,16427,0,-110,113,1,47,1609,275,
881,724,16427,1,-107,114,1,50,1612,274,
884,723,16433,2,-106,111,1,49,1609,263,
889,722,16442,2,-107,111,1,48,1600,274,
889,720,16431,3,-107,114,1,48,1604,272,
883,719,16436,4,-105,113,1,49,1603,267,
886,720,16435,7,-107,116,1,40,1608,274,
879,720,16434,7,-109,117,1,37,1605,269,
880,722,16437,5,-110,117,1,39,1607,267,
877,727,16433,5,-109,117,1,49,1605,273,
880,726,16435,5,-109,118,1,49,1601,271,
880,723,16434,4,-111,117,1,51,1603,275,
878,716,16453,6,-108,118,1,41,1605,267,
877,715,16446,5,-107,118,1,42,1606,270,
871,716,16439,3,-109,117,1,49,1601,275,
877,721,16433,4,-107,119,1,45,1601,269,
880,721,16425,1,-106,122,1,51,1605,265,
882,723,16433,1,-106,120,1,41,1609,279,
889,716,16428,0,-104,118,1,37,1607,267,
886,718,16429,0,-110,119,1,39,1609,271,
887,720,16422,1,-108,118,1,54,1606,272,
896,717,16420,4,-109,117,1,47,1607,271,
891,720,16431,3,-110,114,1,47,1611,271,
896,720,16428,3,-110,115,1,47,1609,269,
880,727,16437,3,-107,113,1,54,1602,274,
882,720,16443,1,-112,113,1,46,1604,272,
889,720,16440,4,-113,114,1,48,1608,272,
891,721,16445,5,-109,114,1,52,1608,266,
885,726,16436,3,-112,113,1,42,1604,276,
896,721,16454,5,-116,115,1,45,1611,273,
892,727,16445,7,-115,118,1,46,1604,274,
889,728,16434,4,-114,121,1,46,1604,270,
883,725,16436,1,-111,117,1,43,1599,273,
885,726,16438,1,-108,119,1,48,1600,266,
879,723,16425,-3,-106,115,1,46,1602,282,
875,716,16417,-3,-114,111,1,47,1601,273,
872,725,16423,-1,-111,114,1,46,1606,272,
873,729,16417,0,-105,117,1,46,1606,274,
877,735,16408,-1,-108,117,1,53,1611,269,
877,729,16409,2,-105,116,1,50,1600,276,
877,728,16427,1,-108,120,1,47,1601,271,
876,726,16438,-2,-107,117,1,51,1609,269,
878,712,16444,1,-105,116,1,42,1598,268,
879,717,16434,1,-107,118,1,50,1608,274,
886,727,16423,5,-110,116,1,43,1599,275,
880,726,16417,2,-110,118,1,46,1608,270,
881,717,16438,-3,-109,117,1,48,1600,270,
878,709,16436,3,-109,112,1,51,1605,277,
880,716,16445,5,-109,114,1,44,1594,266,
884,716,16433,4,-112,113,1,47,1605,263,
882,722,16423,4,-112,112,1,42,1608,278,
878,724,16437,2,-116,108,1,44,1604,274,
878,721,16432,-2,-114,111,1,45,1611,275,
878,722,16427,-6,-113,116,1,49,1611,273,
884,719,16431,-1,-106,115,1,46,1604,272,
886,731,16434,2,-108,116,1,47,1601,275,
878,727,16452,2,-109,114,1,49,1609,275,
873,724,16439,4,-113,116,1,56,1608,270,
